model,AUC,PR-AUC,Accuracy,F1
RandomForest,0.8193105421180819,0.8458405751994843,0.6505287389396446,0.7551904857891553
Lasso,0.7465079575039892,0.7876615285355729,0.6340551039493562,0.7282730623364138
