Model,Type,Threshold,AUC,Accuracy,Sensitivity,Precision,F1
RandomForest,Default (t=0.5),0.5,0.8193105421180819,0.6436946982231494,0.9660493827160493,0.615687238750922,0.7520648746057965
RandomForest,Best (Max Accuracy),0.717391304347826,0.8193105421180819,0.750089921588375,0.7983539094650206,0.7650973625831895,0.781371932032725
Lasso,Default (t=0.5),0.5,0.7465079575039892,0.6340551039493562,0.8766718106995884,0.6228414801279123,0.7282730623364138
Lasso,Best (Max Accuracy),0.8400288165337177,0.7465079575039892,0.6926839795698151,0.6657664609053497,0.7557664233576642,0.7079174073567619
