"Test_Study","RF_ROC_AUC","RF_PR_AUC","Lasso_ROC_AUC","Lasso_PR_AUC"
"PRJNA439311",0.834302325581395,0.936145571699728,0.775436046511628,0.935547720324589
"PRJNA282010",0.846491228070175,0.849941116101145,0.730994152046784,0.754322179569878
"PRJNA296567",0.739285714285714,0.84166304000269,0.657142857142857,0.754470518730447
"PRJNA632472",0.646035217105451,0.761395955111648,0.677814938684504,0.77258218174895
"PRJNA1108737",0.619113573407202,0.667638832017154,0.59851108033241,0.621368930792216
"PRJNA820972",0.726102292768959,0.848405244300538,0.615343915343916,0.793392973630337
"Mean",0.73522172520315,0.817531626538817,0.675873831677016,0.771947417466069
